	tip3p	tip3pfb	spce	tip4pew	tip4pfb	opc
anti-all	77.70	77.40	76.90	79.20	79.40	69.85
syn	21.90	22.30	22.80	20.40	20.30	29.75
anti	13.60	15.10	14.00	13.50	15.40	12.69
high-anti	64.10	62.30	62.90	65.70	64.00	57.16
non-syn-anti	0.40	0.30	0.30	0.40	0.30	0.41
j12	6.45	6.53	6.37	6.22	6.32	6.53
j12_std	4.26	4.24	4.21	4.25	4.23	4.27
j12_err	0.13	0.13	0.13	0.13	0.13	0.14
j23	5.47	5.39	5.47	5.54	5.48	5.37
j23_std	1.40	1.42	1.35	1.37	1.40	1.38
j23_err	0.04	0.04	0.04	0.04	0.04	0.04
j34	4.61	4.35	4.69	4.75	4.71	4.39
j34_std	4.08	4.12	4.14	4.07	4.11	4.09
j34_err	0.13	0.13	0.13	0.13	0.13	0.13
c3	39.30	36.10	40.10	41.00	40.60	37.26
c2	53.80	57.40	53.20	52.30	52.50	56.55
non-c2-c3	6.90	6.50	6.70	6.70	6.90	6.19
