	tip3p	tip3pfb	spce	tip4pew	tip4pfb	opc
anti-all	7.80	8.00	8.00	9.80	8.30	5.60
syn	91.80	91.70	91.70	89.60	91.20	94.20
anti	0.50	0.40	0.50	0.20	0.70	0.60
high-anti	7.30	7.60	7.50	9.60	7.60	5.00
non-syn-anti	0.40	0.30	0.30	0.60	0.50	0.20
j12	8.62	8.74	8.72	8.70	8.49	8.74
j12_std	3.59	3.44	3.51	3.54	3.66	3.48
j12_err	0.11	0.11	0.11	0.11	0.12	0.11
j23	4.35	4.39	4.38	4.35	4.42	4.35
j23_std	1.13	1.16	1.13	1.12	1.14	1.10
j23_err	0.04	0.04	0.04	0.04	0.04	0.03
j34	2.43	2.30	2.42	2.39	2.51	2.27
j34_std	3.61	3.51	3.69	3.67	3.68	3.50
j34_err	0.11	0.11	0.12	0.12	0.12	0.11
c3	17.10	16.30	17.50	17.20	19.00	16.00
c2	81.20	82.80	81.40	81.50	79.60	82.30
non-c2-c3	1.70	0.90	1.10	1.30	1.40	1.70
