	tip3p	opc
anti-all	80.10	70.70
syn	18.60	27.70
anti	63.60	58.70
high-anti	16.50	12.00
non-syn-anti	1.30	1.60
j12	7.15	6.87
j12_std	4.39	4.31
j12_err	0.14	0.14
j23	5.10	5.28
j23_std	1.28	1.27
j23_err	0.04	0.04
j34	5.57	6.08
j34_std	4.51	4.52
j34_err	0.14	0.14
c3	44.80	50.50
c2	50.40	45.40
non-c2-c3	4.80	4.10
