	tip3p	opc
anti-all	28.40	33.90
syn	68.20	61.90
anti	14.20	16.50
high-anti	14.20	17.40
non-syn-anti	3.40	4.20
j12	7.09	6.51
j12_std	4.29	4.46
j12_err	0.14	0.14
j23	5.23	5.20
j23_std	1.20	1.20
j23_err	0.04	0.04
j34	5.06	5.69
j34_std	4.44	4.53
j34_err	0.14	0.14
c3	41.50	48.10
c2	54.60	47.90
non-c2-c3	3.90	4.00
